date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:44	470985/470985	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2010:33:23%20GMT	https://sansherwan2287.wixsite.com/website	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/sansherwan2287.wixsite.com/website.html	(from )
13:33:44	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://sansherwan2287.wixsite.com/robots.txt		(from )
13:33:45	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sansherwan2287.wixsite.com/website)
13:33:46	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://sansherwan2287.wixsite.com/website)
13:33:46	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2017:54:30%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/polyfill.io/v3/polyfill.mind82c.js	(from https://sansherwan2287.wixsite.com/website)
13:33:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2010:33:27%20GMT	https://sansherwan2287.wixsite.com/website/decodeURIComponent(e	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/sansherwan2287.wixsite.com/website/decodeURIComponent(e	(from https://sansherwan2287.wixsite.com/website)
13:33:47	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://sansherwan2287.wixsite.com/website)
13:33:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2010:33:28%20GMT	https://sansherwan2287.wixsite.com/website/https:	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/sansherwan2287.wixsite.com/website/https_	(from https://sansherwan2287.wixsite.com/website)
13:33:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2010:33:29%20GMT	https://sansherwan2287.wixsite.com/website/robots.txt	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/sansherwan2287.wixsite.com/website/robots.txt	(from https://sansherwan2287.wixsite.com/website)
13:33:50	292/292	---M--	200	added ('OK')	text/xml	etag:W/%22124-OQiyJ4KmxwdemqH5L3bwUTvBqEg%22	https://sansherwan2287.wixsite.com/website/sitemap.xml	C:/Users/win10/Desktop/Web%20HamaKurdish/HamaKudish/sansherwan2287.wixsite.com/website/sitemap.xml	(from https://sansherwan2287.wixsite.com/website)
